element,Atomic_Radius,Pauling_Electronegativity,number_of_valence_electrons,Cohesive_energy_ev_atom,Bulk_modulus_RT_Gpa,Elastic_modulus_RT_Gpa,Shear_modulus_RT_Gpa,Melting_point_(K),rate_shear_mod_Mpa_perK,Solid_Solubility_atpct,lattice_constant_A,BEC_percm3,Av.Valence_bond_strength_ev,EngelZ_e/a
H,0.53,2.2,1,0,,,,14.05,,48.96,3.75,,,
He,0.31,0,0,0,,,,0.95,,,3.57,,,
Li,1.67,0.98,1,1.63,11,4.9,4.2,453.65,-12.58539823,0,3.49,4.60E-22,1.574,1
Be,1.12,1.57,2,3.32,130,287,132,1551.15,-46.71788125,12.8,2.29,2.42E-21,2.587,2
B,0.87,2.04,3,5.81,320,400,216,2352.15,-42.616,1.7,8.73,3.93E-21,2.829,3
C,0.67,2.55,4,7.37,33,27.6,11.5,3640.15,-1.254136229,5.2,3.57,7.08E-21,4.805,4
N,0.56,3.04,5,4.92,0,0,0,63.25,0,17,4.039,1.47E-21,0.051,3
O,0.48,3.44,6,2.62,,,,54.75,,9,6.83,,,
F,0.42,3.98,7,0.84,,,,53.35,,,,,,
Ne,0.38,0,0,0.02,,,,24.45,,,4.43,,,
Na,1.9,0.93,1,1.113,6.3,10,3.3,370.95,-17.5259339,0,4.23,2.65E-22,1.691,1
Mg,1.45,1.31,2,1.51,45,45,17,922.15,-13.17160913,0.2,3.21,8.60E-22,2.413,2
Al,1.18,1.61,3,3.39,76,70,26,933.15,-19.766837,19.6,4.05,1.81E-21,2.494,3
Si,1.11,1.9,4,4.63,100,47,60,1683.15,-18.8956,3.5,5.43,2.00E-21,3.085,4
P,0.98,2.19,5,3.43,11,,,317.25,,,7.17,1.57E-21,1.213,
S,0.88,2.58,6,2.85,7.7,,,385.95,,0,10.47,7.80E-22,0.621,
Cl,0.79,3.16,7,1.4,1.1,,,172.15,,,6.24,,,
Ar,0.71,0,0,0.08,,,,83.95,,,5.26,,,
K,2.43,0.82,1,0.934,3.1,,1.3,336.4,-9.98058718,0,5.23,1.30E-22,1.536,1
Ca,1.94,1,2,1.84,17,20,7.4,1112.15,-4.280553221,,5.58,4.60E-22,2.178,2
