formula,T,UTS,formula_1,T_1,YS,add,sqrt
Nb99.0Zr1.0,24,330.96,Nb99.0Zr1.0,24,255.8,586.76,418.2919574
Nb99.0Zr1.0,1093,157.9,Nb99.0Zr1.0,1093,147.55,305.45,216.1097233
Nb99.0Zr1.0,1371,59.64,Nb99.0Zr1.0,1371,48.27,107.91,76.72628298
Nb99.0Zr1.0,1482,40.68,Nb99.0Zr1.0,1482,31.72,72.4,51.58508312
Nb99.0Zr1.0,1649,20.34,Nb99.0Zr1.0,1649,16.13,36.47,25.95943952
Nb94.9Zr5.1,16,523.79,Nb94.9Zr5.1,16,425.49,949.28,674.8316117
Nb94.9Zr5.1,227,477.55,Nb94.9Zr5.1,227,397.01,874.56,621.0241079
Nb94.9Zr5.1,446,453.43,Nb94.9Zr5.1,446,381.76,835.19,592.7389497
Nb94.9Zr5.1,659,446.97,Nb94.9Zr5.1,659,383.03,830,588.6375471
Nb94.9Zr5.1,885,433.89,Nb94.9Zr5.1,885,373.3,807.19,572.3752459
Nb94.9Zr5.1,1092,239.6,Nb94.9Zr5.1,1092,180.58,420.18,300.0288259
Nb94.9Zr5.1,1315,106.08,Nb94.9Zr5.1,1315,79.36,185.44,132.4800966
Nb94.9Zr5.1,1372,105.02,Nb94.9Zr5.1,1372,105.02,210.04,148.5207083
Nb91.2V8.8,24,535.05,Nb91.2V8.8,24,372.33,907.38,651.8497767
Nb91.2V8.8,149,467.48,Nb91.2V8.8,149,322,789.48,567.6456204
Nb91.2V8.8,316,434.39,Nb91.2V8.8,316,270.28,704.67,511.6111321
Nb91.2V8.8,427,437.14,Nb91.2V8.8,427,271.66,708.8,514.6751745
Nb91.2V8.8,1093,270.28,Nb91.2V8.8,1093,217.19,487.47,346.7315597
Nb91.2V8.8,1204,221.33,Nb91.2V8.8,1204,190.3,411.63,291.8922042
Nb91.2V8.8,1316,165.48,Nb91.2V8.8,1316,156.52,322,227.776515
Nb91.2V8.8,1371,121.35,Nb91.2V8.8,1371,121.35,242.7,171.6148158
Nb91.2V8.8,1538,99.29,Nb91.2V8.8,1538,93.77,193.06,136.5698246
Nb88.7Ta5.7W5.6,24,517.13,Nb88.7Ta5.7W5.6,24,413.7,930.83,662.2470286
Nb88.7Ta5.7W5.6,427,413.7,Nb88.7Ta5.7W5.6,427,344.75,758.45,538.5167152
Nb88.7Ta5.7W5.6,538,358.54,Nb88.7Ta5.7W5.6,538,275.8,634.34,452.3456329
Nb88.7Ta5.7W5.6,649,330.96,Nb88.7Ta5.7W5.6,649,255.12,586.08,417.8764602
Nb88.7Ta5.7W5.6,871,310.28,Nb88.7Ta5.7W5.6,871,241.33,551.61,393.0824943
Nb88.7Ta5.7W5.6,982,268.91,Nb88.7Ta5.7W5.6,982,206.85,475.76,339.2631878
Nb88.7Ta5.7W5.6,1093,220.64,Nb88.7Ta5.7W5.6,1093,165.48,386.12,275.8
Nb88.7Ta5.7W5.6,1204,186.17,Nb88.7Ta5.7W5.6,1204,137.9,324.07,231.6801219
Nb88.7Ta5.7W5.6,1316,144.8,Nb88.7Ta5.7W5.6,1316,103.43,248.23,177.946073
Nb88.7Ta5.7W5.6,1371,124.11,Nb88.7Ta5.7W5.6,1371,89.64,213.75,153.0967723
Nb88.7Ta5.7W5.6,1427,110.32,Nb88.7Ta5.7W5.6,1427,75.85,186.17,133.8795164
Nb88.7Ta5.7W5.6,1538,82.74,Nb88.7Ta5.7W5.6,1538,58.61,141.35,101.3954619
Nb88.7Ta5.7W5.6,1649,68.95,Nb88.7Ta5.7W5.6,1649,48.27,117.22,84.16706838
Nb88.7Ta5.7W5.6,1760,55.16,Nb88.7Ta5.7W5.6,1760,41.37,96.53,68.95
Nb88.7Ta5.7W5.6,1871,44.82,Nb88.7Ta5.7W5.6,1871,33.1,77.92,55.71752328
Nb74.9Ta17.7W6.2Zr1.3,24,599.18,Nb74.9Ta17.7W6.2Zr1.3,24,479.2,1078.38,767.2348483
Nb74.9Ta17.7W6.2Zr1.3,204,468.86,Nb74.9Ta17.7W6.2Zr1.3,204,366.12,834.98,594.8727208
Nb74.9Ta17.7W6.2Zr1.3,427,367.5,Nb74.9Ta17.7W6.2Zr1.3,427,267.53,635.03,454.5641329
Nb74.9Ta17.7W6.2Zr1.3,649,435.07,Nb74.9Ta17.7W6.2Zr1.3,649,317.17,752.24,538.4075722
Nb74.9Ta17.7W6.2Zr1.3,871,357.16,Nb74.9Ta17.7W6.2Zr1.3,871,223.4,580.56,421.2728636
Nb74.9Ta17.7W6.2Zr1.3,982,310.28,Nb74.9Ta17.7W6.2Zr1.3,982,206.85,517.13,372.9083009
Nb74.9Ta17.7W6.2Zr1.3,1093,248.22,Nb74.9Ta17.7W6.2Zr1.3,1093,203.4,451.62,320.9123376
Nb74.9Ta17.7W6.2Zr1.3,1260,173.75,Nb74.9Ta17.7W6.2Zr1.3,1260,148.24,321.99,228.3947462
Nb74.9Ta17.7W6.2Zr1.3,1371,119.97,Nb74.9Ta17.7W6.2Zr1.3,1371,112.39,232.36,164.3907327
Nb74.9Ta17.7W6.2Zr1.3,1427,101.36,Nb74.9Ta17.7W6.2Zr1.3,1427,98.6,199.96,141.4065402
Nb79.3Ta19.5Zr1.2,27,606.87,Nb79.3Ta19.5Zr1.2,27,493.02,1099.89,781.8950807
Nb79.3Ta19.5Zr1.2,316,491.19,Nb79.3Ta19.5Zr1.2,316,420.49,911.68,646.5906404
Nb79.3Ta19.5Zr1.2,538,471.91,Nb79.3Ta19.5Zr1.2,538,440.69,912.6,645.6831454
