alloy,temp,UTS_Mpa,formula,Exp_the
Nb99Zr1,24,330.96,Nb99.0Zr1.0,0
Nb95Zr5,16,523.79,Nb94.9Zr5.1,0
Nb95V5,24,535.05,Nb91.2V8.8,0
Nb88.5Hf10Ti1Zr0.5,24,405.43,Nb92.0Hf5.4Ti2.0Zr0.5,0
Nb80Ta10W10,24,517.13,Nb88.7Ta5.7W5.6,0
Nb61Ta28W10Zr1,24,599.18,Nb74.9Ta17.7W6.2Zr1.3,0
Nb67Ta32Zr1,27,606.87,Nb79.3Ta19.5Zr1.2,0
Nb85Ti10Zr5,22,554.62,Nb77.6Ti17.7Zr4.7,0
Nb79.9C0.1Mo10Ti10,24,637.79,Nb72.8C0.7Mo8.8Ti17.7,0
Nb94W5Zr1 ,24,584.01,Nb96.4W2.6Zr1.0,0
Nb88.9C0.1W10Zr1,24,672.26,Nb92.9C0.8W5.3Zr1.1,0
Nb87.5W10Zr2.5,24,601.24,Nb92.0W5.3Zr2.7,0
Nb80Hf10W10,24,584.01,Nb88.6Hf5.8W5.6,0
Nb79Mo5W15Zr1,24,834.3,Nb85.5Mo5.2W8.2Zr1.1,0
Nb74Mo5Ti5W15Zr1,30,849.66,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,0
Nb79W20Zr1,24,1182.49,Nb87.7W11.2Zr1.1,0
Nb89V5Mo5Zr1,24,768.1,Nb85.6V8.8Mo4.7Zr1.0,0
Nb78Zr1Hf1W20,24,911.4271052,Nb87.0Zr1.1Hf0.6W11.3,1
Nb77Zr1Ta3W19,24,909.5265525,Nb86.4Zr1.1Ta1.7W10.8,1
Nb76Zr1Ta4W19,24,912.3974812,Nb85.7Zr1.1Ta2.3W10.8,1
Nb78Zr1Ta1W20,24,914.5039172,Nb87.0Zr1.1Ta0.6W11.3,1
Nb77Hf2Ta1W20,24,914.2542208,Nb86.8Hf1.2Ta0.6W11.4,1
Nb76Zr2Ta2W20,24,913.1606589,Nb85.2Zr2.3Ta1.2W11.3,1
Nb75Hf2Ta4W19,24,912.3079451,Nb85.5Hf1.2Ta2.3W10.9,1
