formula,T,add,label
Nb99.0Zr1.0,24,586.76,0
Nb94.9Zr5.1,16,949.28,0
Nb91.2V8.8,24,907.38,0
Nb88.7Ta5.7W5.6,24,930.83,0
Nb74.9Ta17.7W6.2Zr1.3,24,1078.38,0
Nb79.3Ta19.5Zr1.2,27,1099.89,0
Nb77.6Ti17.7Zr4.7,22,1046.02,0
Nb96.4W2.6Zr1.0,24,1034.94,0
Nb92.9C0.8W5.3Zr1.1,24,1206.62,0
Nb92.0W5.3Zr2.7,24,1073.55,0
Nb85.5Mo5.2W8.2Zr1.1,24,1523.8,0
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,1407.67,0
Nb85.6V8.8Mo4.7Zr1.0,24,1372.1,0
Nb92.0Hf5.4Ti2.0Zr0.5,24,752.94,0
Nb88.6Hf5.8W5.6,24,1071.49,0
Nb87.7W11.2Zr1.1,24,2168.48,0
Nb87.0Zr1.1Hf0.6W11.3,24,1854.529148,1
Nb87.0Zr1.1Ta0.6W11.3,24,1856.200576,1
Nb86.8Hf1.2Ta0.6W11.4,24,1850.424073,1
Nb87.5Hf0.6Ta0.6W11.3,24,1849.959776,1
Nb85.7Zr1.1Ta1.7W11.4,24,1844.129093,1
Nb86.4Zr1.1Ta1.7W10.8,24,1839.964558,1
Nb86.2Hf1.8Ta0.6W11.5,24,1844.906405,1
