formula,T,UTS,formula_1,T_1,YS,add,sqrt
Nb99.0Zr1.0,24,330.96,Nb99.0Zr1.0,24,255.8,586.76,418.2919574
Nb94.9Zr5.1,16,523.79,Nb94.9Zr5.1,16,425.49,949.28,674.8316117
Nb91.2V8.8,24,535.05,Nb91.2V8.8,24,372.33,907.38,651.8497767
Nb88.7Ta5.7W5.6,24,517.13,Nb88.7Ta5.7W5.6,24,413.7,930.83,662.2470286
Nb74.9Ta17.7W6.2Zr1.3,24,599.18,Nb74.9Ta17.7W6.2Zr1.3,24,479.2,1078.38,767.2348483
Nb79.3Ta19.5Zr1.2,27,606.87,Nb79.3Ta19.5Zr1.2,27,493.02,1099.89,781.8950807
Nb77.6Ti17.7Zr4.7,22,554.62,Nb77.6Ti17.7Zr4.7,22,491.4,1046.02,740.9975063
Nb96.4W2.6Zr1.0,24,584.01,Nb96.4W2.6Zr1.0,24,450.93,1034.94,737.8384274
Nb92.9C0.8W5.3Zr1.1,24,672.26,Nb92.9C0.8W5.3Zr1.1,24,534.36,1206.62,858.7631322
Nb92.0W5.3Zr2.7,24,601.24,Nb92.0W5.3Zr2.7,24,472.31,1073.55,764.5693387
Nb85.5Mo5.2W8.2Zr1.1,24,834.3,Nb85.5Mo5.2W8.2Zr1.1,24,689.5,1523.8,1082.343171
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,558.01,1407.67,1016.51231
Nb85.6V8.8Mo4.7Zr1.0,24,768.1,Nb85.6V8.8Mo4.7Zr1.0,24,604,1372.1,977.1354103
Nb92.0Hf5.4Ti2.0Zr0.5,24,405.43,Nb92.0Hf5.4Ti2.0Zr0.5,24,347.51,752.94,533.9819145
Nb88.6Hf5.8W5.6,24,584.01,Nb88.6Hf5.8W5.6,24,487.48,1071.49,760.726252
Nb87.7W11.2Zr1.1,24,1182.49,Nb87.7W11.2Zr1.1,24,985.99,2168.48,1539.629462
