alloy,temp,YS_Mpa,UTS_Mpa,formula
Nb99Zr1,24,255.8,330.96,Nb99.0Zr1.0
Nb99Zr1,1093,147.55,157.9,Nb99.0Zr1.0
Nb99Zr1,1371,48.27,59.64,Nb99.0Zr1.0
Nb99Zr1,1482,31.72,40.68,Nb99.0Zr1.0
Nb99Zr1,1649,16.13,20.34,Nb99.0Zr1.0
Nb95Zr5,16,425.49,523.79,Nb94.9Zr5.1
Nb95Zr5,227,397.01,477.55,Nb94.9Zr5.1
Nb95Zr5,446,381.76,453.43,Nb94.9Zr5.1
Nb95Zr5,659,383.03,446.97,Nb94.9Zr5.1
Nb95Zr5,885,373.3,433.89,Nb94.9Zr5.1
Nb95Zr5,1092,180.58,239.6,Nb94.9Zr5.1
Nb95Zr5,1315,79.36,106.08,Nb94.9Zr5.1
Nb95Zr5,1372,105.02,105.02,Nb94.9Zr5.1
Nb95V5,24,372.33,535.05,Nb91.2V8.8
Nb95V5,149,322.0,467.48,Nb91.2V8.8
Nb95V5,316,270.28,434.39,Nb91.2V8.8
Nb95V5,427,271.66,437.14,Nb91.2V8.8
Nb95V5,1093,217.19,270.28,Nb91.2V8.8
Nb95V5,1204,190.3,221.33,Nb91.2V8.8
Nb95V5,1316,156.52,165.48,Nb91.2V8.8
Nb95V5,1371,121.35,121.35,Nb91.2V8.8
Nb95V5,1538,93.77,99.29,Nb91.2V8.8
Nb88.5Hf10Ti1Zr0.5,24,347.51,405.43,Nb92.0Hf5.4Ti2.0Zr0.5
Nb88.5Hf10Ti1Zr0.5,1093,126.87,188.23,Nb92.0Hf5.4Ti2.0Zr0.5
Nb88.5Hf10Ti1Zr0.5,1371,71.02,82.74,Nb92.0Hf5.4Ti2.0Zr0.5
Nb88.5Hf10Ti1Zr0.5,1482,59.3,65.5,Nb92.0Hf5.4Ti2.0Zr0.5
Nb88.5Hf10Ti1Zr0.5,1649,28.96,34.48,Nb92.0Hf5.4Ti2.0Zr0.5
Nb80Ta10W10,24,413.7,517.13,Nb88.7Ta5.7W5.6
Nb80Ta10W10,427,344.75,413.7,Nb88.7Ta5.7W5.6
Nb80Ta10W10,538,275.8,358.54,Nb88.7Ta5.7W5.6
Nb80Ta10W10,649,255.12,330.96,Nb88.7Ta5.7W5.6
Nb80Ta10W10,871,241.33,310.28,Nb88.7Ta5.7W5.6
Nb80Ta10W10,982,206.85,268.91,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1093,165.48,220.64,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1204,137.9,186.17,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1316,103.43,144.8,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1371,89.64,124.11,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1427,75.85,110.32,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1538,58.61,82.74,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1649,48.27,68.95,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1760,41.37,55.16,Nb88.7Ta5.7W5.6
Nb80Ta10W10,1871,33.1,44.82,Nb88.7Ta5.7W5.6
Nb61Ta28W10Zr1,24,479.2,599.18,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,204,366.12,468.86,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,427,267.53,367.5,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,649,317.17,435.07,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,871,223.4,357.16,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,982,206.85,310.28,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,1093,203.4,248.22,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,1260,148.24,173.75,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,1371,112.39,119.97,Nb74.9Ta17.7W6.2Zr1.3
Nb61Ta28W10Zr1,1427,98.6,101.36,Nb74.9Ta17.7W6.2Zr1.3
Nb67Ta32Zr1,27,493.02,606.87,Nb79.3Ta19.5Zr1.2
Nb67Ta32Zr1,316,420.49,491.19,Nb79.3Ta19.5Zr1.2
Nb67Ta32Zr1,538,440.69,471.91,Nb79.3Ta19.5Zr1.2
Nb67Ta32Zr1,871,382.85,448.04,Nb79.3Ta19.5Zr1.2
Nb67Ta32Zr1,982,340.62,439.77,Nb79.3Ta19.5Zr1.2
Nb67Ta32Zr1,1093,245.14,388.36,Nb79.3Ta19.5Zr1.2
Nb67Ta32Zr1,1204,226.77,281.86,Nb79.3Ta19.5Zr1.2
