alloy,temp,UTS_Mpa,formula,Exp_the
Nb99Zr1,24,330.96,Nb99.0Zr1.0,0
Nb95Zr5,16,523.79,Nb94.9Zr5.1,0
Nb95V5,24,535.05,Nb91.2V8.8,0
Nb88.5Hf10Ti1Zr0.5,24,405.43,Nb92.0Hf5.4Ti2.0Zr0.5,0
Nb80Ta10W10,24,517.13,Nb88.7Ta5.7W5.6,0
Nb61Ta28W10Zr1,24,599.18,Nb74.9Ta17.7W6.2Zr1.3,0
Nb67Ta32Zr1,27,606.87,Nb79.3Ta19.5Zr1.2,0
Nb85Ti10Zr5,22,554.62,Nb77.6Ti17.7Zr4.7,0
Nb79.9C0.1Mo10Ti10,24,637.79,Nb72.8C0.7Mo8.8Ti17.7,0
Nb94W5Zr1 ,24,584.01,Nb96.4W2.6Zr1.0,0
Nb88.9C0.1W10Zr1,24,672.26,Nb92.9C0.8W5.3Zr1.1,0
Nb87.5W10Zr2.5,24,601.24,Nb92.0W5.3Zr2.7,0
Nb80Hf10W10,24,584.01,Nb88.6Hf5.8W5.6,0
Nb79Mo5W15Zr1,24,834.3,Nb85.5Mo5.2W8.2Zr1.1,0
Nb74Mo5Ti5W15Zr1,30,849.66,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,0
Nb79W20Zr1,24,1182.49,Nb87.7W11.2Zr1.1,0
Nb89V5Mo5Zr1,24,768.1,Nb85.6V8.8Mo4.7Zr1.0,0
Nb77Zr1Ta3W19,24,920.3699297,Nb86.4Zr1.1Ta1.7W10.8,1
Nb78Zr1Hf1W20,24,922.070234,Nb87.0Zr1.1Hf0.6W11.3,1
Nb76Zr1Ta4W19,24,922.992629,Nb85.7Zr1.1Ta2.3W10.8,1
Nb76Zr2Ta2W20,24,923.6528994,Nb85.2Zr2.3Ta1.2W11.3,1
Nb75Hf2Ta4W19,24,923.0494553,Nb85.5Hf1.2Ta2.3W10.9,1
Nb78Zr1Ta1W20,24,924.9973364,Nb87.0Zr1.1Ta0.6W11.3,1
Nb77Hf2Ta1W20,24,924.789154,Nb86.8Hf1.2Ta0.6W11.4,1
Nb76Zr1Ta3W20,24,923.0614404,Nb85.7Zr1.1Ta1.7W11.4,1
Nb78Hf1Ta1W20,24,924.1714453,Nb87.5Hf0.6Ta0.6W11.3,1
Nb75Zr1Ta5W19,24,922.0769166,Nb85.0Zr1.2Ta2.9W10.9,1
Nb75Hf3Ta2W20,24,923.7772209,Nb85.5Hf1.8Ta1.2W11.5,1
Nb76Hf3Ta1W20,24,923.7772209,Nb86.2Hf1.8Ta0.6W11.5,1
Nb75Zr2Ta3W20,24,922.536521,Nb84.6Zr2.3Ta1.7W11.4,1
Nb76Hf2Ta2W20,24,923.8345817,Nb86.2Hf1.2Ta1.2W11.5,1
Nb77Zr1Ta2W20,24,923.880958,Nb86.4Zr1.1Ta1.2W11.3,1
Nb74Zr1Ta7W18,24,920.2483212,Nb84.4Zr1.2Ta4.1W10.4,1
Nb74Hf3Ta4W19,24,922.7936938,Nb84.8Hf1.8Ta2.4W11.0,1
Nb75Hf4Ta1W20,24,922.7879424,Nb85.5Hf2.4Ta0.6W11.5,1
Nb74Ta9W16Re1,24,921.1404368,Nb84.9Ta5.3W9.3Re0.6,1
Nb76Hf1Ta4W19,24,921.1404368,Nb86.2Hf0.6Ta2.3W10.9,1
