element,Atomic_Weight
H,1.00794
He,4.002602
Li,6.941
Be,9.01218
B,10.811
C,12.011
N,14.00674
O,15.9994
F,18.998403
Ne,20.1797
Na,22.989768
Mg,24.305
Al,26.981539
Si,28.0855
P,30.973762
S,32.066
Cl,35.4527
Ar,39.948
K,39.0983
Ca,40.078
Sc,44.95591
Ti,47.88
V,50.9415
Cr,51.9961
Mn,54.93805
Fe,55.847
Co,58.9332
Ni,58.6934
Cu,63.546
Zn,65.39
Ga,69.723
Ge,72.61
As,74.92159
Se,78.96
Br,79.904
Kr,83.8
Rb,85.4678
Sr,87.62
Y,88.90585
Zr,91.224
Nb,92.90638
Mo,95.94
Tc,97.9072
Ru,101.07
Rh,102.9055
Pd,106.42
Ag,107.8682
Cd,112.411
In,114.818
Sn,118.71
Sb,121.76
Te,127.6
I,126.90447
Xe,131.29
Cs,132.90543
Ba,137.327
La,138.9055
Ce,140.115
Pr,140.90765
Nd,144.24
Pm,144.9127
Sm,150.36
Eu,151.965
Gd,157.25
Tb,158.92534
Dy,162.5
Ho,164.93032
Er,167.26
Tm,168.93421
Yb,173.04
Lu,174.967
Hf,178.49
Ta,180.9479
W,183.84
Re,186.207
Os,190.23
Ir,192.22
Pt,195.08
Au,196.96654
Hg,200.59
Tl,204.3833
Pb,207.2
Bi,208.98037
Th,232.0381
U,238.0289
