formula,T,UTS,YS
Nb99.0Zr1.0,24,330.96,255.8
Nb94.9Zr5.1,16,523.79,425.49
Nb91.2V8.8,24,535.05,372.33
Nb88.7Ta5.7W5.6,24,517.13,413.7
Nb74.9Ta17.7W6.2Zr1.3,24,599.18,479.2
Nb79.3Ta19.5Zr1.2,27,606.87,493.02
Nb77.6Ti17.7Zr4.7,22,554.62,491.4
Nb96.4W2.6Zr1.0,24,584.01,450.93
Nb92.9C0.8W5.3Zr1.1,24,672.26,534.36
Nb92.0W5.3Zr2.7,24,601.24,472.31
Nb85.5Mo5.2W8.2Zr1.1,24,834.3,689.5
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66,558.01
Nb85.6V8.8Mo4.7Zr1.0,24,768.1,604
Nb92.0Hf5.4Ti2.0Zr0.5,24,405.43,347.51
Nb88.6Hf5.8W5.6,24,584.01,487.48
Nb87.7W11.2Zr1.1,24,1182.49,985.99
