formula,T,target
Nb99.0Zr1.0,24,586.76
Nb99.0Zr1.0,1093,305.45
Nb99.0Zr1.0,1371,107.91
Nb99.0Zr1.0,1482,72.4
Nb99.0Zr1.0,1649,36.47
Nb94.9Zr5.1,16,949.28
Nb94.9Zr5.1,227,874.56
Nb94.9Zr5.1,446,835.19
Nb94.9Zr5.1,659,830
Nb94.9Zr5.1,885,807.19
Nb94.9Zr5.1,1092,420.18
Nb94.9Zr5.1,1315,185.44
Nb94.9Zr5.1,1372,210.04
Nb91.2V8.8,24,907.38
Nb91.2V8.8,149,789.48
Nb91.2V8.8,316,704.67
Nb91.2V8.8,427,708.8
Nb91.2V8.8,1093,487.47
Nb91.2V8.8,1204,411.63
Nb91.2V8.8,1316,322
Nb91.2V8.8,1371,242.7
Nb91.2V8.8,1538,193.06
Nb88.7Ta5.7W5.6,24,930.83
Nb88.7Ta5.7W5.6,427,758.45
Nb88.7Ta5.7W5.6,538,634.34
Nb88.7Ta5.7W5.6,649,586.08
Nb88.7Ta5.7W5.6,871,551.61
Nb88.7Ta5.7W5.6,982,475.76
Nb88.7Ta5.7W5.6,1093,386.12
Nb88.7Ta5.7W5.6,1204,324.07
Nb88.7Ta5.7W5.6,1316,248.23
Nb88.7Ta5.7W5.6,1371,213.75
Nb88.7Ta5.7W5.6,1427,186.17
Nb88.7Ta5.7W5.6,1538,141.35
Nb88.7Ta5.7W5.6,1649,117.22
Nb88.7Ta5.7W5.6,1760,96.53
Nb88.7Ta5.7W5.6,1871,77.92
Nb74.9Ta17.7W6.2Zr1.3,24,1078.38
Nb74.9Ta17.7W6.2Zr1.3,204,834.98
Nb74.9Ta17.7W6.2Zr1.3,427,635.03
Nb74.9Ta17.7W6.2Zr1.3,649,752.24
Nb74.9Ta17.7W6.2Zr1.3,871,580.56
Nb74.9Ta17.7W6.2Zr1.3,982,517.13
Nb74.9Ta17.7W6.2Zr1.3,1093,451.62
Nb74.9Ta17.7W6.2Zr1.3,1260,321.99
Nb74.9Ta17.7W6.2Zr1.3,1371,232.36
Nb74.9Ta17.7W6.2Zr1.3,1427,199.96
Nb79.3Ta19.5Zr1.2,27,1099.89
Nb79.3Ta19.5Zr1.2,316,911.68
Nb79.3Ta19.5Zr1.2,538,912.6
Nb79.3Ta19.5Zr1.2,871,830.89
Nb79.3Ta19.5Zr1.2,982,780.39
Nb79.3Ta19.5Zr1.2,1093,633.5
Nb79.3Ta19.5Zr1.2,1204,508.63
Nb79.3Ta19.5Zr1.2,1316,313.08
Nb79.3Ta19.5Zr1.2,1427,251.56
Nb77.6Ti17.7Zr4.7,22,1046.02
Nb77.6Ti17.7Zr4.7,93,974.36
Nb77.6Ti17.7Zr4.7,204,890.75
Nb77.6Ti17.7Zr4.7,316,820.5
Nb77.6Ti17.7Zr4.7,427,757.67
Nb77.6Ti17.7Zr4.7,538,713.06
Nb77.6Ti17.7Zr4.7,649,674.3
Nb77.6Ti17.7Zr4.7,760,633.01
Nb77.6Ti17.7Zr4.7,871,575.71
Nb77.6Ti17.7Zr4.7,982,444.11
Nb77.6Ti17.7Zr4.7,1093,317.45
Nb77.6Ti17.7Zr4.7,1149,256.18
Nb72.8C0.7Mo8.8Ti17.7,93,1225.94
Nb72.8C0.7Mo8.8Ti17.7,204,1042.52
Nb72.8C0.7Mo8.8Ti17.7,316,847.39
