formula,T,target,,formula,T,target
Nb99.0Zr1.0,24,330.96,,Nb99.0Zr1.0,24,255.8
Nb99.0Zr1.0,1093,157.9,,Nb99.0Zr1.0,1093,147.55
Nb99.0Zr1.0,1371,59.64,,Nb99.0Zr1.0,1371,48.27
Nb99.0Zr1.0,1482,40.68,,Nb99.0Zr1.0,1482,31.72
Nb99.0Zr1.0,1649,20.34,,Nb99.0Zr1.0,1649,16.13
Nb94.9Zr5.1,16,523.79,,Nb94.9Zr5.1,16,425.49
Nb94.9Zr5.1,227,477.55,,Nb94.9Zr5.1,227,397.01
Nb94.9Zr5.1,446,453.43,,Nb94.9Zr5.1,446,381.76
Nb94.9Zr5.1,659,446.97,,Nb94.9Zr5.1,659,383.03
Nb94.9Zr5.1,885,433.89,,Nb94.9Zr5.1,885,373.3
Nb94.9Zr5.1,1092,239.6,,Nb94.9Zr5.1,1092,180.58
Nb94.9Zr5.1,1315,106.08,,Nb94.9Zr5.1,1315,79.36
Nb94.9Zr5.1,1372,105.02,,Nb94.9Zr5.1,1372,105.02
Nb91.2V8.8,24,535.05,,Nb91.2V8.8,24,372.33
Nb91.2V8.8,149,467.48,,Nb91.2V8.8,149,322
Nb91.2V8.8,316,434.39,,Nb91.2V8.8,316,270.28
Nb91.2V8.8,427,437.14,,Nb91.2V8.8,427,271.66
Nb91.2V8.8,1093,270.28,,Nb91.2V8.8,1093,217.19
Nb91.2V8.8,1204,221.33,,Nb91.2V8.8,1204,190.3
Nb91.2V8.8,1316,165.48,,Nb91.2V8.8,1316,156.52
Nb91.2V8.8,1371,121.35,,Nb91.2V8.8,1371,121.35
Nb91.2V8.8,1538,99.29,,Nb91.2V8.8,1538,93.77
Nb88.7Ta5.7W5.6,24,517.13,,Nb88.7Ta5.7W5.6,24,413.7
Nb88.7Ta5.7W5.6,427,413.7,,Nb88.7Ta5.7W5.6,427,344.75
Nb88.7Ta5.7W5.6,538,358.54,,Nb88.7Ta5.7W5.6,538,275.8
Nb88.7Ta5.7W5.6,649,330.96,,Nb88.7Ta5.7W5.6,649,255.12
Nb88.7Ta5.7W5.6,871,310.28,,Nb88.7Ta5.7W5.6,871,241.33
Nb88.7Ta5.7W5.6,982,268.91,,Nb88.7Ta5.7W5.6,982,206.85
Nb88.7Ta5.7W5.6,1093,220.64,,Nb88.7Ta5.7W5.6,1093,165.48
Nb88.7Ta5.7W5.6,1204,186.17,,Nb88.7Ta5.7W5.6,1204,137.9
Nb88.7Ta5.7W5.6,1316,144.8,,Nb88.7Ta5.7W5.6,1316,103.43
Nb88.7Ta5.7W5.6,1371,124.11,,Nb88.7Ta5.7W5.6,1371,89.64
Nb88.7Ta5.7W5.6,1427,110.32,,Nb88.7Ta5.7W5.6,1427,75.85
Nb88.7Ta5.7W5.6,1538,82.74,,Nb88.7Ta5.7W5.6,1538,58.61
Nb88.7Ta5.7W5.6,1649,68.95,,Nb88.7Ta5.7W5.6,1649,48.27
Nb88.7Ta5.7W5.6,1760,55.16,,Nb88.7Ta5.7W5.6,1760,41.37
Nb88.7Ta5.7W5.6,1871,44.82,,Nb88.7Ta5.7W5.6,1871,33.1
Nb74.9Ta17.7W6.2Zr1.3,24,599.18,,Nb74.9Ta17.7W6.2Zr1.3,24,479.2
Nb74.9Ta17.7W6.2Zr1.3,204,468.86,,Nb74.9Ta17.7W6.2Zr1.3,204,366.12
Nb74.9Ta17.7W6.2Zr1.3,427,367.5,,Nb74.9Ta17.7W6.2Zr1.3,427,267.53
Nb74.9Ta17.7W6.2Zr1.3,649,435.07,,Nb74.9Ta17.7W6.2Zr1.3,649,317.17
Nb74.9Ta17.7W6.2Zr1.3,871,357.16,,Nb74.9Ta17.7W6.2Zr1.3,871,223.4
Nb74.9Ta17.7W6.2Zr1.3,982,310.28,,Nb74.9Ta17.7W6.2Zr1.3,982,206.85
Nb74.9Ta17.7W6.2Zr1.3,1093,248.22,,Nb74.9Ta17.7W6.2Zr1.3,1093,203.4
Nb74.9Ta17.7W6.2Zr1.3,1260,173.75,,Nb74.9Ta17.7W6.2Zr1.3,1260,148.24
Nb74.9Ta17.7W6.2Zr1.3,1371,119.97,,Nb74.9Ta17.7W6.2Zr1.3,1371,112.39
Nb74.9Ta17.7W6.2Zr1.3,1427,101.36,,Nb74.9Ta17.7W6.2Zr1.3,1427,98.6
Nb79.3Ta19.5Zr1.2,27,606.87,,Nb79.3Ta19.5Zr1.2,27,493.02
Nb79.3Ta19.5Zr1.2,316,491.19,,Nb79.3Ta19.5Zr1.2,316,420.49
Nb79.3Ta19.5Zr1.2,538,471.91,,Nb79.3Ta19.5Zr1.2,538,440.69
Nb79.3Ta19.5Zr1.2,871,448.04,,Nb79.3Ta19.5Zr1.2,871,382.85
Nb79.3Ta19.5Zr1.2,982,439.77,,Nb79.3Ta19.5Zr1.2,982,340.62
Nb79.3Ta19.5Zr1.2,1093,388.36,,Nb79.3Ta19.5Zr1.2,1093,245.14
Nb79.3Ta19.5Zr1.2,1204,281.86,,Nb79.3Ta19.5Zr1.2,1204,226.77
