formula,T,target
Nb99.0Zr1.0,24,84659.568
Nb99.0Zr1.0,1093,23298.145
Nb99.0Zr1.0,1371,2878.8228
Nb99.0Zr1.0,1482,1290.3696
Nb99.0Zr1.0,1649,328.0842
Nb94.9Zr5.1,16,222867.4071
Nb94.9Zr5.1,227,189592.1255
Nb94.9Zr5.1,446,173101.4368
Nb94.9Zr5.1,659,171202.9191
Nb94.9Zr5.1,885,161971.137
Nb94.9Zr5.1,1092,43266.968
Nb94.9Zr5.1,1315,8418.5088
Nb94.9Zr5.1,1372,11029.2004
Nb91.2V8.8,24,199215.1665
Nb91.2V8.8,149,150528.56
Nb91.2V8.8,316,117406.9292
Nb91.2V8.8,427,118753.4524
Nb91.2V8.8,1093,58702.1132
Nb91.2V8.8,1204,42119.099
Nb91.2V8.8,1316,25900.9296
Nb91.2V8.8,1371,14725.8225
Nb91.2V8.8,1538,9310.4233
Nb88.7Ta5.7W5.6,24,213936.681
Nb88.7Ta5.7W5.6,427,142623.075
Nb88.7Ta5.7W5.6,538,98885.332
Nb88.7Ta5.7W5.6,649,84434.5152
Nb88.7Ta5.7W5.6,871,74879.8724
Nb88.7Ta5.7W5.6,982,55624.0335
Nb88.7Ta5.7W5.6,1093,36511.5072
Nb88.7Ta5.7W5.6,1204,25672.843
Nb88.7Ta5.7W5.6,1316,14976.664
Nb88.7Ta5.7W5.6,1371,11125.2204
Nb88.7Ta5.7W5.6,1427,8367.772
Nb88.7Ta5.7W5.6,1538,4849.3914
Nb88.7Ta5.7W5.6,1649,3328.2165
Nb88.7Ta5.7W5.6,1760,2281.9692
Nb88.7Ta5.7W5.6,1871,1483.542
Nb74.9Ta17.7W6.2Zr1.3,24,287127.056
Nb74.9Ta17.7W6.2Zr1.3,204,171659.0232
Nb74.9Ta17.7W6.2Zr1.3,427,98317.275
Nb74.9Ta17.7W6.2Zr1.3,649,137991.1519
Nb74.9Ta17.7W6.2Zr1.3,871,79789.544
Nb74.9Ta17.7W6.2Zr1.3,982,64181.418
Nb74.9Ta17.7W6.2Zr1.3,1093,50487.948
Nb74.9Ta17.7W6.2Zr1.3,1260,25756.7
Nb74.9Ta17.7W6.2Zr1.3,1371,13483.4283
Nb74.9Ta17.7W6.2Zr1.3,1427,9994.096
Nb79.3Ta19.5Zr1.2,27,299199.0474
Nb79.3Ta19.5Zr1.2,316,206540.4831
Nb79.3Ta19.5Zr1.2,538,207966.0179
Nb79.3Ta19.5Zr1.2,871,171532.114
Nb79.3Ta19.5Zr1.2,982,149794.4574
Nb79.3Ta19.5Zr1.2,1093,95202.5704
Nb79.3Ta19.5Zr1.2,1204,63917.3922
Nb79.3Ta19.5Zr1.2,1316,22982.2112
Nb79.3Ta19.5Zr1.2,1427,14603.2963
Nb77.6Ti17.7Zr4.7,22,272540.268
Nb77.6Ti17.7Zr4.7,93,236320.9923
Nb77.6Ti17.7Zr4.7,204,196688.125
Nb77.6Ti17.7Zr4.7,316,165883.4384
Nb77.6Ti17.7Zr4.7,427,139463.9982
Nb77.6Ti17.7Zr4.7,538,121284.3184
Nb77.6Ti17.7Zr4.7,649,108033.1161
Nb77.6Ti17.7Zr4.7,760,95590.0938
Nb77.6Ti17.7Zr4.7,871,80487.3498
Nb77.6Ti17.7Zr4.7,982,48675.1458
Nb77.6Ti17.7Zr4.7,1093,25151.4406
Nb77.6Ti17.7Zr4.7,1149,16407.0481
Nb72.8C0.7Mo8.8Ti17.7,93,375522.5505
Nb72.8C0.7Mo8.8Ti17.7,204,270832.8651
Nb72.8C0.7Mo8.8Ti17.7,316,177660.274
Nb72.8C0.7Mo8.8Ti17.7,427,176084.59
Nb72.8C0.7Mo8.8Ti17.7,538,150295.9689
Nb72.8C0.7Mo8.8Ti17.7,649,131650.9236
Nb72.8C0.7Mo8.8Ti17.7,760,99279.273
Nb72.8C0.7Mo8.8Ti17.7,871,78775.0368
Nb72.8C0.7Mo8.8Ti17.7,982,56432.8863
Nb72.8C0.7Mo8.8Ti17.7,1093,32135.8285
Nb72.8C0.7Mo8.8Ti17.7,1427,3879.4028
Nb96.4W2.6Zr1.0,24,263347.6293
Nb96.4W2.6Zr1.0,871,137868.9725
Nb96.4W2.6Zr1.0,1093,72833.264
Nb96.4W2.6Zr1.0,1260,40334.0952
Nb96.4W2.6Zr1.0,1371,8312.31
Nb92.9C0.8W5.3Zr1.1,24,359228.8536
Nb92.9C0.8W5.3Zr1.1,1093,88260.4645
Nb92.9C0.8W5.3Zr1.1,1204,42193.4526
Nb92.9C0.8W5.3Zr1.1,1316,26670.1358
Nb92.9C0.8W5.3Zr1.1,1427,8498.7684
Nb92.0W5.3Zr2.7,24,283971.6644
Nb92.0W5.3Zr2.7,399,116990.666
Nb92.0W5.3Zr2.7,538,97538.2848
Nb92.0W5.3Zr2.7,1093,43886.0934
Nb92.0W5.3Zr2.7,1316,24502.9618
Nb92.0W5.3Zr2.7,1482,13497.883
Nb92.0W5.3Zr2.7,1649,4516.225
Nb85.5Mo5.2W8.2Zr1.1,24,575249.85
Nb85.5Mo5.2W8.2Zr1.1,538,285042.6296
Nb85.5Mo5.2W8.2Zr1.1,871,270570.4614
Nb85.5Mo5.2W8.2Zr1.1,1093,183162.1344
Nb85.5Mo5.2W8.2Zr1.1,1204,114859.1664
Nb85.5Mo5.2W8.2Zr1.1,1288,83805.8015
Nb85.5Mo5.2W8.2Zr1.1,1371,42842.7227
Nb85.5Mo5.2W8.2Zr1.1,1482,26882.91
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,474118.7766
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,649,299133.297
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1093,82864.3237
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1205,46738.2976
Nb85.6V8.8Mo4.7Zr1.0,24,463932.4
Nb85.6V8.8Mo4.7Zr1.0,982,217641.3645
Nb85.6V8.8Mo4.7Zr1.0,1093,116270.7201
Nb85.6V8.8Mo4.7Zr1.0,1204,75009.314
Nb85.6V8.8Mo4.7Zr1.0,1316,59394.8235
Nb85.6V8.8Mo4.7Zr1.0,1427,36076.7316
Nb85.6V8.8Mo4.7Zr1.0,1538,16607.136
