formula,T,target
Nb99.0Zr1.0,24,418.2919574
Nb99.0Zr1.0,1093,216.1097233
Nb99.0Zr1.0,1371,76.72628298
Nb99.0Zr1.0,1482,51.58508312
Nb99.0Zr1.0,1649,25.95943952
Nb94.9Zr5.1,16,674.8316117
Nb94.9Zr5.1,227,621.0241079
Nb94.9Zr5.1,446,592.7389497
Nb94.9Zr5.1,659,588.6375471
Nb94.9Zr5.1,885,572.3752459
Nb94.9Zr5.1,1092,300.0288259
Nb94.9Zr5.1,1315,132.4800966
Nb94.9Zr5.1,1372,148.5207083
Nb91.2V8.8,24,651.8497767
Nb91.2V8.8,149,567.6456204
Nb91.2V8.8,316,511.6111321
Nb91.2V8.8,427,514.6751745
Nb91.2V8.8,1093,346.7315597
Nb91.2V8.8,1204,291.8922042
Nb91.2V8.8,1316,227.776515
Nb91.2V8.8,1371,171.6148158
Nb91.2V8.8,1538,136.5698246
Nb88.7Ta5.7W5.6,24,662.2470286
Nb88.7Ta5.7W5.6,427,538.5167152
Nb88.7Ta5.7W5.6,538,452.3456329
Nb88.7Ta5.7W5.6,649,417.8764602
Nb88.7Ta5.7W5.6,871,393.0824943
Nb88.7Ta5.7W5.6,982,339.2631878
Nb88.7Ta5.7W5.6,1093,275.8
Nb88.7Ta5.7W5.6,1204,231.6801219
Nb88.7Ta5.7W5.6,1316,177.946073
Nb88.7Ta5.7W5.6,1371,153.0967723
Nb88.7Ta5.7W5.6,1427,133.8795164
Nb88.7Ta5.7W5.6,1538,101.3954619
Nb88.7Ta5.7W5.6,1649,84.16706838
Nb88.7Ta5.7W5.6,1760,68.95
Nb88.7Ta5.7W5.6,1871,55.71752328
Nb74.9Ta17.7W6.2Zr1.3,24,767.2348483
Nb74.9Ta17.7W6.2Zr1.3,204,594.8727208
Nb74.9Ta17.7W6.2Zr1.3,427,454.5641329
Nb74.9Ta17.7W6.2Zr1.3,649,538.4075722
Nb74.9Ta17.7W6.2Zr1.3,871,421.2728636
Nb74.9Ta17.7W6.2Zr1.3,982,372.9083009
Nb74.9Ta17.7W6.2Zr1.3,1093,320.9123376
Nb74.9Ta17.7W6.2Zr1.3,1260,228.3947462
Nb74.9Ta17.7W6.2Zr1.3,1371,164.3907327
Nb74.9Ta17.7W6.2Zr1.3,1427,141.4065402
Nb79.3Ta19.5Zr1.2,27,781.8950807
Nb79.3Ta19.5Zr1.2,316,646.5906404
Nb79.3Ta19.5Zr1.2,538,645.6831454
Nb79.3Ta19.5Zr1.2,871,589.3334914
Nb79.3Ta19.5Zr1.2,982,556.255011
Nb79.3Ta19.5Zr1.2,1093,459.2571275
Nb79.3Ta19.5Zr1.2,1204,361.7591637
Nb79.3Ta19.5Zr1.2,1316,228.1549123
Nb79.3Ta19.5Zr1.2,1427,184.5964274
Nb77.6Ti17.7Zr4.7,22,740.9975063
Nb77.6Ti17.7Zr4.7,93,690.4602994
Nb77.6Ti17.7Zr4.7,204,632.5024209
Nb77.6Ti17.7Zr4.7,316,584.3401177
Nb77.6Ti17.7Zr4.7,427,543.2640541
Nb77.6Ti17.7Zr4.7,538,515.6412772
Nb77.6Ti17.7Zr4.7,649,488.4815839
Nb77.6Ti17.7Zr4.7,760,457.7351554
Nb77.6Ti17.7Zr4.7,871,412.8768636
Nb77.6Ti17.7Zr4.7,982,316.0433522
Nb77.6Ti17.7Zr4.7,1093,224.6588999
Nb77.6Ti17.7Zr4.7,1149,181.1466152
Nb72.8C0.7Mo8.8Ti17.7,93,867.1123241
Nb72.8C0.7Mo8.8Ti17.7,204,738.3645578
Nb72.8C0.7Mo8.8Ti17.7,316,602.2866959
Nb72.8C0.7Mo8.8Ti17.7,427,599.0837859
Nb72.8C0.7Mo8.8Ti17.7,538,562.2872734
Nb72.8C0.7Mo8.8Ti17.7,649,522.3870359
Nb72.8C0.7Mo8.8Ti17.7,760,458.2354667
Nb72.8C0.7Mo8.8Ti17.7,871,402.6360373
Nb72.8C0.7Mo8.8Ti17.7,982,336.8706057
Nb72.8C0.7Mo8.8Ti17.7,1093,253.5335769
Nb72.8C0.7Mo8.8Ti17.7,1427,89.38083967
Nb96.4W2.6Zr1.0,24,737.8384274
Nb96.4W2.6Zr1.0,871,527.9967525
Nb96.4W2.6Zr1.0,1093,381.8427509
Nb96.4W2.6Zr1.0,1260,284.4639344
Nb96.4W2.6Zr1.0,1371,129.4680594
Nb92.9C0.8W5.3Zr1.1,24,858.7631322
Nb92.9C0.8W5.3Zr1.1,1093,423.3153522
Nb92.9C0.8W5.3Zr1.1,1204,299.3780508
