formula,T,target
Nb99.0Zr1.0,24,255.8
Nb99.0Zr1.0,1093,147.55
Nb99.0Zr1.0,1371,48.27
Nb99.0Zr1.0,1482,31.72
Nb99.0Zr1.0,1649,16.13
Nb94.9Zr5.1,16,425.49
Nb94.9Zr5.1,227,397.01
Nb94.9Zr5.1,446,381.76
Nb94.9Zr5.1,659,383.03
Nb94.9Zr5.1,885,373.3
Nb94.9Zr5.1,1092,180.58
Nb94.9Zr5.1,1315,79.36
Nb94.9Zr5.1,1372,105.02
Nb91.2V8.8,24,372.33
Nb91.2V8.8,149,322
Nb91.2V8.8,316,270.28
Nb91.2V8.8,427,271.66
Nb91.2V8.8,1093,217.19
Nb91.2V8.8,1204,190.3
Nb91.2V8.8,1316,156.52
Nb91.2V8.8,1371,121.35
Nb91.2V8.8,1538,93.77
Nb88.7Ta5.7W5.6,24,413.7
Nb88.7Ta5.7W5.6,427,344.75
Nb88.7Ta5.7W5.6,538,275.8
Nb88.7Ta5.7W5.6,649,255.12
Nb88.7Ta5.7W5.6,871,241.33
Nb88.7Ta5.7W5.6,982,206.85
Nb88.7Ta5.7W5.6,1093,165.48
Nb88.7Ta5.7W5.6,1204,137.9
Nb88.7Ta5.7W5.6,1316,103.43
Nb88.7Ta5.7W5.6,1371,89.64
Nb88.7Ta5.7W5.6,1427,75.85
Nb88.7Ta5.7W5.6,1538,58.61
Nb88.7Ta5.7W5.6,1649,48.27
Nb88.7Ta5.7W5.6,1760,41.37
Nb88.7Ta5.7W5.6,1871,33.1
Nb74.9Ta17.7W6.2Zr1.3,24,479.2
Nb74.9Ta17.7W6.2Zr1.3,204,366.12
Nb74.9Ta17.7W6.2Zr1.3,427,267.53
Nb74.9Ta17.7W6.2Zr1.3,649,317.17
Nb74.9Ta17.7W6.2Zr1.3,871,223.4
Nb74.9Ta17.7W6.2Zr1.3,982,206.85
Nb74.9Ta17.7W6.2Zr1.3,1093,203.4
Nb74.9Ta17.7W6.2Zr1.3,1260,148.24
Nb74.9Ta17.7W6.2Zr1.3,1371,112.39
Nb74.9Ta17.7W6.2Zr1.3,1427,98.6
Nb79.3Ta19.5Zr1.2,27,493.02
Nb79.3Ta19.5Zr1.2,316,420.49
Nb79.3Ta19.5Zr1.2,538,440.69
Nb79.3Ta19.5Zr1.2,871,382.85
Nb79.3Ta19.5Zr1.2,982,340.62
Nb79.3Ta19.5Zr1.2,1093,245.14
Nb79.3Ta19.5Zr1.2,1204,226.77
Nb79.3Ta19.5Zr1.2,1316,117.52
Nb79.3Ta19.5Zr1.2,1427,90.89
Nb77.6Ti17.7Zr4.7,22,491.4
Nb77.6Ti17.7Zr4.7,93,455.19
Nb77.6Ti17.7Zr4.7,204,404.5
Nb77.6Ti17.7Zr4.7,316,361.04
Nb77.6Ti17.7Zr4.7,427,315.18
Nb77.6Ti17.7Zr4.7,538,280.18
Nb77.6Ti17.7Zr4.7,649,262.07
Nb77.6Ti17.7Zr4.7,760,248.79
Nb77.6Ti17.7Zr4.7,871,239.14
Nb77.6Ti17.7Zr4.7,982,196.89
Nb77.6Ti17.7Zr4.7,1093,152.23
Nb77.6Ti17.7Zr4.7,1149,128.09
Nb72.8C0.7Mo8.8Ti17.7,93,598.49
Nb72.8C0.7Mo8.8Ti17.7,204,491.61
Nb72.8C0.7Mo8.8Ti17.7,316,380.6
Nb72.8C0.7Mo8.8Ti17.7,427,380.6
Nb72.8C0.7Mo8.8Ti17.7,538,330.27
Nb72.8C0.7Mo8.8Ti17.7,649,317.17
Nb72.8C0.7Mo8.8Ti17.7,760,266.15
Nb72.8C0.7Mo8.8Ti17.7,871,248.91
Nb72.8C0.7Mo8.8Ti17.7,982,225.47
Nb72.8C0.7Mo8.8Ti17.7,1093,177.89
Nb72.8C0.7Mo8.8Ti17.7,1427,55.16
Nb96.4W2.6Zr1.0,24,450.93
Nb96.4W2.6Zr1.0,871,344.75
Nb96.4W2.6Zr1.0,1093,264.08
Nb96.4W2.6Zr1.0,1260,193.06
Nb96.4W2.6Zr1.0,1371,85.5
Nb92.9C0.8W5.3Zr1.1,24,534.36
Nb92.9C0.8W5.3Zr1.1,1093,272.35
Nb92.9C0.8W5.3Zr1.1,1204,172.38
Nb92.9C0.8W5.3Zr1.1,1316,151.69
Nb92.9C0.8W5.3Zr1.1,1427,89.64
Nb92.0W5.3Zr2.7,24,472.31
Nb92.0W5.3Zr2.7,399,272.35
Nb92.0W5.3Zr2.7,538,254.43
Nb92.0W5.3Zr2.7,1093,181.34
Nb92.0W5.3Zr2.7,1316,137.21
Nb92.0W5.3Zr2.7,1482,115.15
Nb92.0W5.3Zr2.7,1649,65.5
Nb85.5Mo5.2W8.2Zr1.1,24,689.5
Nb85.5Mo5.2W8.2Zr1.1,538,522.64
Nb85.5Mo5.2W8.2Zr1.1,871,499.89
Nb85.5Mo5.2W8.2Zr1.1,1093,406.81
Nb85.5Mo5.2W8.2Zr1.1,1204,313.72
Nb85.5Mo5.2W8.2Zr1.1,1288,268.91
Nb85.5Mo5.2W8.2Zr1.1,1371,192.37
