formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,24,330.96
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1093,157.9
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1371,59.64
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1482,40.68
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1649,20.34
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,16,523.79
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,227,477.55
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,446,453.43
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,659,446.97
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,885,433.89
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,1092,239.6
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,1315,106.08
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,1372,105.02
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,24,535.05
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,149,467.48
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,316,434.39
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,427,437.14
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1093,270.28
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1204,221.33
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1316,165.48
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1371,121.35
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1538,99.29
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,24,517.13
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,427,413.7
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,538,358.54
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,649,330.96
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,871,310.28
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,982,268.91
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1093,220.64
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1204,186.17
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1316,144.8
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1371,124.11
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1427,110.32
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1538,82.74
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1649,68.95
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1760,55.16
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1871,44.82
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,24,599.18
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,204,468.86
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,427,367.5
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,649,435.07
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,871,357.16
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,982,310.28
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1093,248.22
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1260,173.75
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1371,119.97
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1427,101.36
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,27,606.87
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,316,491.19
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,538,471.91
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,871,448.04
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,982,439.77
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1093,388.36
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1204,281.86
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1316,195.56
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1427,160.67
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,22,554.62
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,93,519.17
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,204,486.25
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,316,459.46
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,427,442.49
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,538,432.88
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,649,412.23
