formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,24,255.8
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1093,147.55
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1371,48.27
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1482,31.72
Nb99.0Zr1.0,99,1,0,0,0,0,0,0,0,1649,16.13
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,16,425.49
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,227,397.01
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,446,381.76
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,659,383.03
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,885,373.3
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,1092,180.58
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,1315,79.36
Nb94.9Zr5.1,94.9,5.1,0,0,0,0,0,0,0,1372,105.02
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,24,372.33
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,149,322
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,316,270.28
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,427,271.66
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1093,217.19
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1204,190.3
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1316,156.52
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1371,121.35
Nb91.2V8.8,91.2,0,8.8,0,0,0,0,0,0,1538,93.77
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,24,413.7
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,427,344.75
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,538,275.8
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,649,255.12
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,871,241.33
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,982,206.85
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1093,165.48
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1204,137.9
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1316,103.43
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1371,89.64
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1427,75.85
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1538,58.61
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1649,48.27
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1760,41.37
Nb88.7Ta5.7W5.6,88.7,0,0,5.7,5.6,0,0,0,0,1871,33.1
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,24,479.2
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,204,366.12
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,427,267.53
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,649,317.17
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,871,223.4
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,982,206.85
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1093,203.4
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1260,148.24
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1371,112.39
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1427,98.6
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,27,493.02
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,316,420.49
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,538,440.69
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,871,382.85
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,982,340.62
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1093,245.14
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1204,226.77
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1316,117.52
