,formula,T,target,ei,predicted_property,std,wt_pct
1546644,Nb87.0Zr1.1Hf0.6W11.3,24,0,16.546617408653017,874.1451833957587,138.91714256225634,Nb78Zr1Hf1W20
1562644,Nb87.0Zr1.1Ta0.6W11.3,24,0,15.852908208625234,877.3035105441155,134.2080629105721,Nb78Zr1Ta1W20
1635044,Nb86.8Hf1.2Ta0.6W11.4,24,0,13.612348028731752,870.5047784544146,131.0271348091136,Nb77Hf2Ta1W20
1562683,Nb86.4Zr1.1Ta1.7W10.8,24,0,13.266260060763631,860.9889868440486,136.31168612687975,Nb77Zr1Ta3W19
1563064,Nb85.2Zr2.3Ta1.2W11.3,24,0,13.08220583549393,861.9904871116797,134.9225112561243,Nb76Zr2Ta2W20
1562684,Nb85.7Zr1.1Ta1.7W11.4,24,0,12.884086122383735,867.1097755152261,130.6548094942625,Nb76Zr1Ta3W20
1635464,Nb85.5Hf1.8Ta1.2W11.5,24,0,12.849482946168031,867.3121759128096,130.38432957399667,Nb75Hf3Ta2W20
1635444,Nb86.2Hf1.8Ta0.6W11.5,24,0,12.849482946168031,867.3121759128096,130.38432957399667,Nb76Hf3Ta1W20
1635064,Nb86.2Hf1.2Ta1.2W11.5,24,0,12.845456351912397,867.3343181923507,130.35382414081755,Nb76Hf2Ta2W20
1634644,Nb87.5Hf0.6Ta0.6W11.3,24,0,12.803306375665002,867.8649475137516,129.82892258691575,Nb78Hf1Ta1W20
1562664,Nb86.4Zr1.1Ta1.2W11.3,24,0,12.800941029726197,867.4884226182999,130.07891800766944,Nb77Zr1Ta2W20
1562703,Nb85.7Zr1.1Ta2.3W10.8,24,0,12.749010153980837,863.5250891726622,132.5964018097604,Nb76Zr1Ta4W19
1562762,Nb84.4Zr1.2Ta4.1W10.4,24,0,12.691446683472574,860.1384488448329,134.6801712978095,Nb74Zr1Ta7W18
1650985,Nb88.1Hf0.6W10.7Re0.6,24,0,12.498604675204799,866.2411773923291,129.77993700519087,Nb79Hf1W19Re1
1635484,Nb84.9Hf1.8Ta1.8W11.6,24,0,12.093579894770173,865.3085256416447,128.85066533905913,Nb74Hf3Ta3W20
1562744,Nb83.7Zr1.2Ta3.5W11.6,24,0,11.869576591426636,863.4633793515828,129.2225791471473,Nb73Zr1Ta6W20
1562704,Nb85.1Zr1.2Ta2.3W11.5,24,0,11.864818955450978,863.5081978409057,129.17367945169823,Nb75Zr1Ta4W20
1562724,Nb84.4Zr1.2Ta2.9W11.5,24,0,11.86405252821804,863.5067390231591,129.17165074257946,Nb74Zr1Ta5W20
1635084,Nb85.5Hf1.2Ta1.8W11.5,24,0,11.828872750238425,863.7308991816805,128.88233058345915,Nb75Hf2Ta3W20
1634664,Nb86.9Hf0.6Ta1.2W11.4,24,0,11.70441227449708,863.649489959925,128.4469527274131,Nb77Hf1Ta2W20
1635504,Nb84.2Hf1.8Ta2.4W11.7,24,0,11.606509999027377,862.1700103529387,129.0522894746905,Nb73Hf3Ta4W20
1635104,Nb84.9Hf1.2Ta2.4W11.6,24,0,11.60616031064643,862.1687865721323,129.05172024780757,Nb74Hf2Ta4W20
1562764,Nb83.0Zr1.2Ta4.1W11.7,24,0,11.416891941500527,860.4725453630435,129.42932600681084,Nb72Zr1Ta7W20
1562804,Nb81.6Zr1.2Ta5.4W11.8,24,0,11.41651805770579,860.4796260996166,129.42310883895507,Nb70Zr1Ta9W20
1562784,Nb82.3Zr1.2Ta4.8W11.7,24,0,11.416279237616209,860.481419945444,129.4209556713357,Nb71Zr1Ta8W20
1635544,Nb82.8Hf1.8Ta3.6W11.8,24,0,11.382395165766805,860.7001363870842,129.13929802195622,Nb71Hf3Ta6W20
1635184,Nb82.1Hf1.2Ta4.8W11.9,24,0,11.381862632861452,860.7059933428508,129.1332596719995,Nb70Hf2Ta8W20
1635524,Nb83.5Hf1.8Ta3.0W11.7,24,0,11.38176045584288,860.7045111057749,129.1338368396239,Nb72Hf3Ta5W20
1635564,Nb82.1Hf1.8Ta4.2W11.9,24,0,11.381622006707218,860.7077871886783,129.13109913080578,Nb70Hf3Ta7W20
1635144,Nb83.5Hf1.2Ta3.6W11.7,24,0,11.381622006707218,860.7077871886783,129.13109913080578,Nb72Hf2Ta6W20
1635164,Nb82.8Hf1.2Ta4.2W11.8,24,0,11.381622006707218,860.7077871886783,129.13109913080578,Nb71Hf2Ta7W20
1635124,Nb84.2Hf1.2Ta3.0W11.7,24,0,11.381596778596773,860.7032873249685,129.1339950244887,Nb73Hf2Ta5W20
1562824,Nb80.9Zr1.2Ta6.0W11.9,24,0,11.346989734317916,860.5472235606858,129.09890594568517,Nb69Zr1Ta10W20
1635204,Nb81.4Hf1.2Ta5.5W11.9,24,0,11.346989734317916,860.5472235606858,129.09890594568517,Nb69Hf2Ta9W20
1651785,Nb86.8Hf1.8W10.8Re0.6,24,0,11.311453835884464,860.0305820942938,129.29951882291488,Nb77Hf3W19Re1
1194840,Nb82.2V2.1Ta6.5W9.2,24,0,11.310594099381575,855.61445104853,132.22197191839516,Nb72V1Ta11W16
1652185,Nb86.2Hf2.4W10.9Re0.6,24,0,11.295913256417652,859.9623293878254,129.28224230801493,Nb76Hf4W19Re1
1562844,Nb80.2Zr1.2Ta6.7W11.9,24,0,11.22163331263808,859.3998615562311,129.35556146796654,Nb68Zr1Ta11W20
1635224,Nb80.7Hf1.2Ta6.1W12.0,24,0,11.192439786643813,859.9499040952304,128.87268010292536,Nb68Hf2Ta10W20
1562884,Nb78.8Zr1.2Ta8.0W12.1,24,0,11.187335083029264,859.6262287994654,129.0666589396151,Nb66Zr1Ta13W20
1562864,Nb79.5Zr1.2Ta7.3W12.0,24,0,11.187335083029264,859.6262287994654,129.0666589396151,Nb67Zr1Ta12W20
1634684,Nb86.2Hf0.6Ta1.7W11.5,24,0,11.01173414645072,861.6415460612229,127.01975875134313,Nb76Hf1Ta3W20
1652966,Nb84.8Hf3.6W10.4Re1.1,24,0,10.966827578545853,854.7239723660815,131.3979013812348,Nb74Hf6W18Re2
1635284,Nb78.5Hf1.3Ta8.1W12.2,24,0,10.907519805067817,858.449425188995,128.70495917441255,Nb65Hf2Ta13W20
1634704,Nb85.5Hf0.6Ta2.3W11.5,24,0,10.87537871305397,859.6039993700836,127.81241314476445,Nb75Hf1Ta4W20
1652166,Nb86.2Hf2.4W10.3Re1.1,24,0,10.849206479659212,858.4568573581732,128.46099833619675,Nb76Hf4W18Re2
1653006,Nb83.5Hf3.6W11.7Re1.2,24,0,10.830672913388085,861.1711109542573,126.59562498178603,Nb72Hf6W20Re2
1652585,Nb85.5Hf3.0W10.9Re0.6,24,0,10.81699783017406,855.6150134872317,130.1943749204731,Nb75Hf5W19Re1
1652605,Nb84.9Hf3.0W11.6Re0.6,24,0,10.785717182580665,860.9172494327399,126.57978477043464,Nb74Hf5W20Re1
1652205,Nb85.5Hf2.4W11.5Re0.6,24,0,10.785035424677243,860.9516069057292,126.55433168987608,Nb75Hf4W20Re1
1635103,Nb85.5Hf1.2Ta2.3W10.9,24,0,10.75145189673811,857.3501121458,128.78589011968123,Nb75Hf2Ta4W19
1634764,Nb83.5Hf0.6Ta4.2W11.7,24,0,10.73916476288058,857.7566107502533,128.46845245550602,Nb72Hf1Ta7W20
1634744,Nb84.2Hf0.6Ta3.6W11.7,24,0,10.6624986398426,858.135257853327,127.90353218176175,Nb73Hf1Ta6W20
1634724,Nb84.9Hf0.6Ta2.9W11.6,24,0,10.661866055659704,858.1396325720176,127.89804979866867,Nb74Hf1Ta5W20
1662106,Nb84.9Ta5.3W8.7Re1.1,24,0,10.54109709611432,856.0241599542237,128.78049131551953,Nb74Ta9W15Re2
1579405,Nb85.9Zr2.3W11.3Re0.6,24,0,10.540099058014498,859.5655032472597,126.45990827606728,Nb77Zr2W20Re1
1635264,Nb79.2Hf1.2Ta7.4W12.1,24,0,10.518714028154683,856.9121841255408,128.10751818903083,Nb66Hf2Ta12W20
