,formula,T,target,ei,predicted_property,std,wt_pct
1546644,Nb87.0Zr1.1Hf0.6W11.3,24,0,12.849820410414196,1331.9519413936935,188.3194499959052,Nb78Zr1Hf1W20
1562644,Nb87.0Zr1.1Ta0.6W11.3,24,0,12.552024476148762,1333.4317573733033,186.02501244154323,Nb78Zr1Ta1W20
1635044,Nb86.8Hf1.2Ta0.6W11.4,24,0,11.886426773220343,1329.2448897051736,185.4757220751628,Nb77Hf2Ta1W20
1634644,Nb87.5Hf0.6Ta0.6W11.3,24,0,11.604964372757745,1329.1203826714136,184.2027411904018,Nb78Hf1Ta1W20
1562683,Nb86.4Zr1.1Ta1.7W10.8,24,0,11.423828880444596,1322.0417120326688,187.61802267162122,Nb77Zr1Ta3W19
1562684,Nb85.7Zr1.1Ta1.7W11.4,24,0,11.355601661712267,1324.5542521703053,185.7640374223092,Nb76Zr1Ta3W20
1635464,Nb85.5Hf1.8Ta1.2W11.5,24,0,11.24808100761366,1325.0317692238248,184.94770825581404,Nb75Hf3Ta2W20
1635444,Nb86.2Hf1.8Ta0.6W11.5,24,0,11.24808100761366,1325.0317692238248,184.94770825581404,Nb76Hf3Ta1W20
1562703,Nb85.7Zr1.1Ta2.3W10.8,24,0,11.228892141209524,1322.928332449966,186.12287733515785,Nb76Zr1Ta4W19
1635064,Nb86.2Hf1.2Ta1.2W11.5,24,0,11.228824134023153,1325.1134834540176,184.80367939002522,Nb76Hf2Ta2W20
1563064,Nb85.2Zr2.3Ta1.2W11.3,24,0,11.158638001293557,1323.2644331016675,185.57309332595742,Nb76Zr2Ta2W20
1562664,Nb86.4Zr1.1Ta1.2W11.3,24,0,11.149790751471539,1325.6373677126687,184.09836524610446,Nb77Zr1Ta2W20
1635103,Nb85.5Hf1.2Ta2.3W10.9,24,0,10.534127094322933,1319.3119872621362,184.80241059276878,Nb75Hf2Ta4W19
1634664,Nb86.9Hf0.6Ta1.2W11.4,24,0,10.486406748111978,1321.6641154933582,183.15940844632726,Nb77Hf1Ta2W20
1662125,Nb84.9Ta5.3W9.3Re0.6,24,0,10.109350995747079,1315.7362869864478,184.72598190967287,Nb74Ta9W16Re1
1634703,Nb86.2Hf0.6Ta2.3W10.9,24,0,10.082200943485272,1315.8773003356903,184.50099680164527,Nb76Hf1Ta4W19
1635484,Nb84.9Hf1.8Ta1.8W11.6,24,0,9.977125858370929,1317.8573522830486,182.78539842562614,Nb74Hf3Ta3W20
1652185,Nb86.2Hf2.4W10.9Re0.6,24,0,9.961603451486887,1317.635542984976,182.83468111557852,Nb76Hf4W19Re1
1651785,Nb86.8Hf1.8W10.8Re0.6,24,0,9.9501649798998,1317.7385917561217,182.7141076232513,Nb77Hf3W19Re1
1562723,Nb85.0Zr1.2Ta2.9W10.9,24,0,9.946739712634887,1315.2545495960337,184.15636164826302,Nb75Zr1Ta5W19
1563084,Nb84.6Zr2.3Ta1.7W11.4,24,0,9.888039048992987,1315.576237590448,183.658107171564,Nb75Zr2Ta3W20
1635503,Nb84.8Hf1.8Ta2.4W11.0,24,0,9.879095096954448,1315.6250713135107,183.58225717949236,Nb74Hf3Ta4W19
1662106,Nb84.9Ta5.3W8.7Re1.1,24,0,9.850254804121214,1315.9591722042053,183.23399060306173,Nb74Ta9W15Re2
1562744,Nb83.7Zr1.2Ta3.5W11.6,24,0,9.691278036820048,1313.7953614649068,183.65650252803104,Nb73Zr1Ta6W20
1562704,Nb85.1Zr1.2Ta2.3W11.5,24,0,9.663351072536653,1313.9108914619605,183.43985866949,Nb75Zr1Ta4W20
1562724,Nb84.4Zr1.2Ta2.9W11.5,24,0,9.663205443291883,1313.9175433610635,183.43519654934502,Nb74Zr1Ta5W20
