ML models,Features,r_score_uts,MAE_uts,r_score_ys,MAE_ys
SVR,Oliynyk,0.565,115.088,0.484,107.721
KNN,Oliynyk,0.677,107.788,0.618,104.677
RF,Oliynyk,0.721,79.147,0.53,101.871
GBR,Oliynyk,0.728,88.141,0.599,95.247
SVR,Composition,0.512,115.881,0.524,102.641
KNN,Composition,0.705,95.402,0.693,83.714
RF,Composition,0.767,70.477,0.611,84.409
GBR,Composition,0.749,71.386,0.632,87.75
SVR,Custom,0.685,92.08,0.552,95.386
KNN,Custom,0.702,97.995,0.639,98.821
RF,Custom,0.798,65.417,0.661,92.318
GBR,Custom,0.837,57.42,0.768,73.427
