,formula,mean,std,ei
1460,Nb85.0Zr1.2Ta3.5W9.7Re0.6,910.5385514458216,132.63675835882907,0.9828312199354484
1461,Nb83.7Zr1.2Ta5.3W9.3Re0.6,912.071728074156,131.16890070062774,0.9425868718121392
1440,Nb86.4Zr1.1Hf0.6Ta0.6W11.3,914.2980338862648,129.99792960331376,0.9304929899584726
1480,Nb84.9Hf1.8Ta2.9W9.3Re1.1,909.1606274138708,132.0916125004908,0.9296089862132596
1462,Nb85.7Zr1.1Ta2.9W9.1Re1.1,909.2115528037428,132.04320982028833,0.9283205987881143
1441,Nb85.0Zr1.2Hf0.6Ta2.3W10.9,912.4761384907376,130.58022694334636,0.92259887112115
1481,Nb86.2Hf1.8Ta1.2W9.7Re1.1,909.3185070932356,131.84685628692992,0.9211946816908494
1482,Nb86.9Hf1.2Ta1.2W9.7Re1.1,909.3694324831074,131.79830271761003,0.9199053590516152
1442,Nb84.4Zr1.2Hf0.6Ta2.9W10.9,912.2129662795486,130.38205518085266,0.9082744796064812
1443,Nb85.7Zr1.1Hf1.2Ta0.6W11.4,913.1606589077174,129.91759091157516,0.9047496312623622
1463,Nb86.4Zr1.1Ta1.7W10.2Re0.6,913.460405546223,129.70086450377013,0.9003908918097121
1483,Nb85.5Hf2.4Ta1.2W10.4Re0.6,907.1851492198662,132.05635716036326,0.8906487882015899
1484,Nb85.5Hf0.6Ta3.5W9.8Re0.6,913.6903327265256,129.3582097323199,0.8889052997440254
1444,Nb83.7Zr1.2Hf0.6Ta3.5W11.0,911.307407677609,130.2625185049545,0.8856667146033042
1445,Nb85.0Zr1.2Hf0.6Ta1.7W11.5,913.3171786752032,129.38969500110733,0.8833367501137852
1446,Nb85.7Zr1.1Hf0.6Ta1.2W11.4,913.3681040650752,129.34359250491758,0.8821791323091261
1464,Nb84.4Zr1.2Ta4.1W9.8Re0.6,913.365667035066,129.22306686346843,0.8766260369762735
1485,Nb84.9Hf1.2Ta3.5W9.9Re0.6,913.3689090843876,129.21939347289114,0.8765189505740301
1486,Nb85.5Hf2.4Ta1.2W9.8Re1.1,908.4226004831936,131.22144525684615,0.8757309506257842
1465,Nb85.7Zr1.1Ta2.9W8.5Re1.7,908.1122530289384,131.24167645971886,0.8709537065952109
1447,Nb84.4Zr1.2Hf1.2Ta1.8W11.5,911.9919280945888,129.60076041888684,0.8683056417233965
1448,Nb85.0Zr1.2Hf1.2Ta1.2W11.5,912.011369996624,129.57497136957818,0.8674992211338912
1487,Nb83.5Hf1.2Ta5.4W9.4Re0.6,910.8307364179204,129.83295128317027,0.8574696133722677
1466,Nb83.7Zr1.2Ta4.7W9.9Re0.6,912.4868763762388,129.06642545044076,0.8533580123429649
1488,Nb84.2Hf1.2Ta4.1W9.9Re0.6,912.4901184255604,129.06276967670004,0.8532535798442051
