formula,mean,std,ei
Nb78.5B7.0C6.3N5.4Si2.7,776.5191326680998,84.89051419478169,1.4254210425412774e-05
Nb76.3B6.9C6.2N5.3Si5.3,771.4236471314579,88.27019063714484,2.8090455057646116e-05
Nb74.1B6.8C6.1N5.2Si7.8,770.9222237279813,88.40187478075929,2.8312300721599487e-05
Nb72.0B6.7C6.0N5.1Si10.2,758.0949101969144,93.17074472669925,4.9313992361914045e-05
Nb70.0B6.5C5.9N5.0Si12.6,758.1060288499224,93.17903301459967,4.9446470058219644e-05
Nb68.0B6.4C5.8N5.0Si14.8,756.5211865377146,94.2104413883305,5.883767155235339e-05
Nb66.1B6.3C5.7N4.9Si17.0,751.5598465592544,95.7983344869744,6.702394018370458e-05
Nb64.3B6.2C5.6N4.8Si19.1,753.8224016479542,96.302973646384,8.473773355737618e-05
Nb62.5B6.1C5.5N4.7Si21.2,729.3560588287928,86.75032335139952,1.366337631793319e-06
Nb60.8B6.0C5.4N4.6Si23.1,688.3755293483047,70.68745093268552,1.335466668751241e-11
Nb59.2B5.9C5.3N4.6Si25.0,646.9060420183652,68.96642309695464,3.4860559214216097e-14
Nb57.6B5.8C5.2N4.5Si26.9,647.0767973240274,69.13784567785473,4.158215507786381e-14
Nb56.0B5.7C5.2N4.4Si28.7,653.4488217669294,74.63088504619174,6.857155001482161e-12
Nb54.5B5.6C5.1N4.4Si30.4,652.6061620889209,74.80664336733734,7.1512496879164455e-12
Nb53.0B5.6C5.0N4.3Si32.1,652.0561708976256,74.92005297003789,7.342315453819327e-12
Nb51.6B5.5C4.9N4.2Si33.7,652.13479812258,74.85382557508153,7.060017293128384e-12
Nb50.3B5.4C4.9N4.2Si35.3,652.0255980153778,74.86455349300722,7.0380496102579904e-12
Nb48.9B5.3C4.8N4.1Si36.9,651.9757861575947,74.90416959780052,7.203178291630639e-12
Nb47.6B5.2C4.7N4.0Si38.4,651.4350038732905,74.92097352856723,6.912655026997488e-12
Nb46.4B5.2C4.7N4.0Si39.8,651.4438350391848,74.91857530309709,6.906892357150915e-12
Nb74.3B6.7C6.0N10.4Si2.6,753.7493793729601,91.26290061133305,2.3607917379394163e-05
Nb72.2B6.6C5.9N10.2Si5.1,753.710964382451,91.36341393876015,2.421050106359555e-05
